,accuracy,dummy accuracy
924,0.5,0.65625
925,0.53125,0.5625
926,0.5625,0.53125
927,0.59375,0.59375
928,0.6875,0.65625
929,0.59375,0.59375
930,0.5625,0.5
931,0.5625,0.59375
932,0.625,0.625
933,0.6875,0.6875
934,0.5625,0.5625
935,0.625,0.625
936,0.625,0.6875
937,0.59375,0.5625
938,0.4375,0.59375
939,0.71875,0.625
940,0.59375,0.625
941,0.59375,0.6875
942,0.625,0.75
943,0.5,0.53125
944,0.625,0.65625
945,0.5625,0.5625
946,0.65625,0.65625
947,0.53125,0.625
948,0.5625,0.59375
949,0.625,0.6875
950,0.65625,0.625
951,0.59375,0.59375
952,0.625,0.625
953,0.625,0.65625
954,0.5,0.5625
955,0.59375,0.65625
956,0.5,0.5
957,0.625,0.59375
958,0.59375,0.59375
959,0.65625,0.625
960,0.59375,0.6875
961,0.53125,0.53125
962,0.6875,0.6875
963,0.6875,0.625
964,0.625,0.6875
965,0.65625,0.71875
966,0.5625,0.5625
967,0.6875,0.71875
968,0.46875,0.65625
969,0.5625,0.59375
970,0.5625,0.65625
971,0.6875,0.6875
972,0.5625,0.59375
973,0.625,0.59375
974,0.6875,0.8125
975,0.65625,0.71875
976,0.625,0.65625
977,0.375,0.375
978,0.6875,0.71875
979,0.59375,0.53125
980,0.625,0.65625
981,0.625,0.71875
982,0.6875,0.625
983,0.59375,0.65625
984,0.6875,0.65625
985,0.71875,0.6875
986,0.65625,0.6875
987,0.5625,0.625
988,0.625,0.5625
989,0.6875,0.65625
990,0.65625,0.71875
991,0.5,0.5
992,0.71875,0.75
993,0.59375,0.65625
994,0.5,0.65625
995,0.625,0.59375
996,0.59375,0.65625
997,0.59375,0.5625
998,0.65625,0.59375
999,0.65625,0.71875
